Filename	Title	Year	Authors
10.txt	The King James Bible	2011	Unknown
1001.txt	Divine Comedy, Longfellow's Translation, Hell	1997	Dante Alighieri
1005.txt	Hell	2004	Dante Alighieri
1006.txt	The Divine Comedy of Dante:  Purgatory	2004	Dante Alighieri
1007.txt	The Divine Comedy of Dante:  Paradise	2004	Dante Alighieri
101.txt	Hacker Crackdown	1994	Bruce Sterling
1013.txt	The First Men In The Moon	2004	H. G. Wells
1014.txt	The Lure of the Dim Trails	1997	B. M. Bower
1015.txt	The Oregon Trail	2006	Francis Parkman, Jr.
1016.txt	On the Improvement of the Understanding	1997	Baruch Spinoza
1019.txt	Poems	1997	Currer, Ellis;Acton Bell
102.txt	The Tragedy of Pudd'nhead Wilson	1994	Mark Twain
1020.txt	Sword Blades and Poppy Seed	1997	Amy Lowell
1021.txt	The Congo and Other Poems	1997	Vachel Lindsay
1023.txt	Bleak House	1997	Charles Dickens
1024.txt	The Wrecker	2006	Robert Louis Stevenson;Lloyd Osbourne
1027.txt	The Lone Star Ranger	1997	Zane Grey
1029.txt	The Night-Born	1997	Jack London
103.txt	Around the World in 80 Days	2008	Jules Verne
1032.txt	The Pupil	2010	Henry James
1033.txt	Rose O' the River	2006	Kate Douglas Wiggin
1034.txt	Poems	1997	Wilfred Owen
1035.txt	The Man Against the Sky	2008	Edwin Arlington Robinson
1036.txt	Joe Wilson and His Mates	1997	Henry Lawson
1037.txt	The Life of John Bunyan	2005	Edmund Venables
1039.txt	Missionary Travels and Researches in South Africa	2006	David Livingstone
104.txt	Franklin Delano Roosevelt's First Inaugural Address	2008	Franklin Delano Roosevelt
1040.txt	The Three Taverns	1997	Edwin Arlington Robinson
1041.txt	Shakespeare's Sonnets	1997	William Shakespeare
1043.txt	The Story of Evolution	1997	Joseph McCabe
1045.txt	Venus and Adonis	1997	William Shakespeare
1046.txt	God The Invisible King	2006	Herbert George Wells
1047.txt	The New Machiavelli	1997	Herbert George Wells
1048.txt	The Ruling Passion	1997	Henry van Dyke
1049.txt	Vanished Arizona	1997	Martha Summerhayes
105.txt	Persuasion	2008	Jane Austen
1050.txt	Dark Lady of the Sonnets	2008	George Bernard Shaw
1051.txt	Sartor Resartus	1997	Thomas Carlyle
1052.txt	Step by Step	1997	The American Tract Society
1053.txt	Within the Tides	2011	Joseph Conrad
1056.txt	Martin Eden	2004	Jack London
1059.txt	The World Set Free	2006	Herbert George Wells
106.txt	Jungle Tales of Tarzan	2008	Edgar Rice Burroughs
1061.txt	Myths and Myth-Makers	1997	John Fiske
1062.txt	First Gutenberg Collection of Edgar Allan Poe	1997	Edgar Allan Poe
1063.txt	The Cask of Amontillado	2010	Edgar Allan Poe
1064.txt	The Masque of the Red Death	2010	Edgar Allan Poe
1065.txt	The Raven	2010	Edgar Allan Poe
1067.txt	Personal Memoirs of U. S. Grant, Volume One	2004	Ulysses S. Grant
1068.txt	Personal Memoirs of U. S. Grant, Volume Two	2004	Ulysses S. Grant
1069.txt	Nana, The Miller's Daughter, Captain Burle, Death of Olivier Becaille	2006	Emile Zola
107.txt	Far from the Madding Crowd	1994	Thomas Hardy
1076.txt	The Wallet of Kai Lung	1997	Ernest Bramah
1077.txt	The Mirror of Kong Ho	1997	Ernest Bramah
1078.txt	The Scouts of the Valley	1997	Joseph A. Altsheler
1079.txt	The Life and Opinions of Tristram Shandy, Gentleman	1997	Laurence Sterne
108.txt	The Return of Sherlock Holmes	2007	Arthur Conan Doyle
1080.txt	A Modest Proposal	1997	Jonathan Swift
1083.txt	The Arrow of Gold	2009	Joseph Conrad
1085.txt	The Life of John Sterling	1997	Thomas Carlyle
1087.txt	Baartock	1997	Lewis Roth
1088.txt	Rolf In The Woods	1997	Ernest Thompson Seton
1089.txt	Moon-Face and Other Stories	1997	Jack London
109.txt	Renascence and Other Poems	2008	Edna St. Vincent Millay
1090.txt	The Bickerstaff-Partridge Papers	1997	Jonathan Swift
1091.txt	Heroes and Hero Worship	1997	Thomas Carlyle
1093.txt	The Beast in the Jungle	2005	Henry James
1097.txt	Mrs. Warren's Profession	2006	George Bernard Shaw
1098.txt	The Turmoil	1997	Booth Tarkington
1099.txt	The Riverman	1997	Stewart Edward White
11.txt	Alice's Adventures in Wonderland	1994	Lewis Carroll
110.txt	Tess of the d'Urbervilles	1994	Thomas Hardy
1103.txt	King Richard III	1997	William Shakespeare
111.txt	Freckles	2006	Gene Stratton-Porter
1112.txt	Romeo and Juliet	1997	William Shakespeare
1118.txt	Much Ado About Nothing	1997	William Shakespeare
112.txt	Violists	1994	Richard McGowan
1121.txt	As You Like It	1997	William Shakespeare
113.txt	The Secret Garden	2008	Frances Hodgson Burnett
1138.txt	The Research Magnificent	1997	H. G. Wells
1139.txt	Fisherman's Luck	1997	Henry van Dyke
114.txt	Tenniel Illustrations for Alice in Wonderland	2008	Sir John Tenniel
1140.txt	Latter-Day Pamphlets	1997	Thomas Carlyle
1142.txt	Typhoon	2006	Joseph Conrad
1143.txt	Notes on Life and Letters	2005	Joseph Conrad
1144.txt	In the Cage	2005	Henry James
1146.txt	Journal of A Voyage to Lisbon	1997	Henry Fielding
1147.txt	From This World to the Next	2008	Henry Fielding
1149.txt	From London to Land's End	2007	Daniel Defoe
115.txt	United States Census Figures back to 1630	2008	U.S. Census of Population and Housing
1150.txt	The Danish History, Books I-IX	2006	Saxo Grammaticus
1151.txt	The Nibelungenlied	1997	Unknown
1152.txt	The Story of the Volsungs, (Volsunga Saga)	1997	Unknown
1153.txt	The Chessmen of Mars	1998	Edgar Rice Burroughs
1157.txt	Damaged Goods	1998	Upton Sinclair
1158.txt	Penrod and Sam	1998	Booth Tarkington
1159.txt	Fire-Tongue	1998	Sax Rohmer
1160.txt	The Game	2005	Jack London
1161.txt	Jerry of the Islands	2005	Jack London
1162.txt	The Jacket (The Star-Rover)	2005	Jack London
1163.txt	Adventure	2005	Jack London
1164.txt	The Iron Heel	2006	Jack London
1167.txt	A Strange Disappearance	1998	Anna Katharine Green
1168.txt	The Pool in the Desert	1998	Sara Jeanette Duncan
1169.txt	Agesilaus	1998	Xenophon
117.txt	Beethoven's Fifth Symphony, in C-minor, Opus #67	2012	Ludwig van Beethoven
1170.txt	Anabasis	1998	Xenophon
1171.txt	The Apology	1998	Xenophon
1172.txt	The Cavalry General	1998	Xenophon
1173.txt	The Economist	1998	Xenophon
1174.txt	Hellenica	1998	Xenophon
1175.txt	Hiero	1998	Xenophon
1176.txt	On Horsemanship	1998	Xenophon
1177.txt	The Memorabilia	1998	Xenophon
1178.txt	The Polity of the Athenians and the Lacedaemonians	1998	Xenophon
1179.txt	On Revenues	2008	Xenophon
118.txt	Big Dummy's Guide to the Internet	1994	Electronic Frontier Foundation
1180.txt	The Sportsman	1998	Xenophon
1181.txt	The Symposium	1998	Xenophon
1182.txt	Dope	1998	Sax Rohmer
1183.txt	The Return of Dr. Fu-Manchu	1998	Sax Rohmer
1185.txt	History of the Conflict Between Religion and Science	1998	John William Draper
1186.txt	Poems	2005	Alice Meynell
1187.txt	War of the Classes	2007	Jack London
1188.txt	The Lair of the White Worm	2005	Bram Stoker
1189.txt	The Message	1998	Honore de Balzac
1190.txt	The Jolly Corner	2005	Henry James
1191.txt	The Double-Dealer	2008	William Congreve
1194.txt	The Adventures of Louis de Rougemont	2007	Louis de Rougemont
1195.txt	Glasses	2005	Henry James
1196.txt	The Purse	1998	Honore de Balzac
1197.txt	Taras Bulba and Other Tales	1998	Nikolai Vasilievich Gogol
1198.txt	Robbery Under Arms	2008	Thomas Alexander Browne
12.txt	Through the Looking-Glass	1991	Charles Dodgson
1200.txt	Gargantua and Pantagruel, Complete.	2004	Francois Rabelais
1202.txt	Tales of Unrest	2006	Joseph Conrad
1203.txt	Dolly Dialogues	1998	Anthony Hope
1204.txt	Cabin Fever	1998	B. M. Bower
1205.txt	The Colour of Life	2005	Alice Meynell
1206.txt	Flying U Ranch	1998	B. M. Bower
1207.txt	Nada the Lily	2007	H. Rider Haggard
1208.txt	South Sea Tales	1998	Jack London
1209.txt	History of the Conquest of Peru	1998	William Hickling Prescott
121.txt	Northanger Abbey	1994	Jane Austen
1210.txt	Kwaidan: Stories and Studies of Strange Things	1998	Lafcadio Hearn
1211.txt	A Selection From The Lyrical Poems Of Robert Herrick	1998	Robert Herrick
1212.txt	Love And Freindship And Other Early Works	1998	Jane Austen
1213.txt	The Man that Corrupted Hadleyburg	2005	Mark Twain
1214.txt	The Street of Seven Stars	1998	Mary Roberts Rinehart
1215.txt	The Elixir of Life	1998	Honore de Balzac
1216.txt	Decline of Science in England	1998	Charles Babbage
1217.txt	Penelope's Experiences in Scotland	1998	Kate Douglas Wiggin
1218.txt	The Adventures of Jimmie Dale	2006	Frank L. Packard
1219.txt	An Essay on Comedy	2005	George Meredith
122.txt	Return of the Native	2006	Thomas Hardy
1220.txt	The Atheist's Mass	1998	Honore de Balzac
1222.txt	Cobb's Anatomy	1998	Irvin S. Cobb
1223.txt	Ursula	1997	Honore de Balzac
1225.txt	Faraday As A Discoverer	1998	John Tyndall
1227.txt	The Expression of Emotion in Man and Animals	1998	Charles Darwin
1228.txt	On the Origin of Species	1998	Charles Darwin
123.txt	At the Earth's Core	2008	Edgar Rice Burroughs
1230.txt	Pierre Grassou	1998	Honore de Balzac
1231.txt	On the Track	1998	Henry Lawson
1232.txt	The Prince	2006	Nicolo Machiavelli
1235.txt	Captain Fracasse	2006	Theophile Gautier
1236.txt	First Across the Continent	2006	Noah Brooks
1237.txt	Father Goriot	1998	Honore de Balzac
1238.txt	The City of Dreadful Night	1998	James Thomson
1239.txt	The Spirit of the Border	2004	Zane Grey
124.txt	Deuterocanonical Books of the Bible	2008	Unknown
1240.txt	The Playboy of the Western World	1998	J. M. Synge
1241.txt	The Well of the Saints	1998	J. M. Synge
1242.txt	Unconscious Comedians	1998	Honore de Balzac
1243.txt	Hearts of Controversy	2005	Alice Meynell
1245.txt	Night and Day	1998	Virginia Woolf
1246.txt	The House of Dust	1998	Conrad Aiken
1247.txt	Second April	1998	Edna St. Vincent Millay
1248.txt	Last of the Great Scouts	2006	Helen Cody Wetmore
125.txt	A Girl Of The Limberlost	2006	Gene Stratton Porter
1250.txt	Anthem	1998	Ayn Rand
1251.txt	Le Morte D'Arthur, Volume I (of II)	1998	Thomas Malory
1252.txt	Le Morte D'Arthur, Volume II (of II)	1998	Thomas Malory
1253.txt	A Simple Soul	2006	Gustave Flaubert
1254.txt	Cyrano de Bergerac	1998	Edmond Rostand
1257.txt	The Three Musketeers	1998	Alexandre Dumas
1258.txt	Ten Years Later	1998	Alexandre Dumas
1259.txt	Twenty Years After	2003	Alexandre Dumas
126.txt	The Poison Belt	2008	Arthur Conan Doyle
1260.txt	Jane Eyre	2007	Charlotte Bronte
1261.txt	Betty Zane	2004	Zane Grey
1263.txt	The Glimpses of the Moon	1998	Edith Wharton
1264.txt	The Wheels of Chance	1998	H. G. Wells
1265.txt	Queen Victoria	2006	Lytton Strachey
1266.txt	Lavender and Old Lace	1998	Myrtle Reed
1267.txt	Kai Lung's Golden Hours	1998	Ernest Bramah
1268.txt	The Mysterious Island	1998	Jules Verne
1269.txt	Soul of a Bishop	2006	H. G. Wells
127.txt	Number "e" (Natural Log) to Approximately 1 Million Places	2008	Robert Nemiroff
1270.txt	In Defense of Women	1998	H. L. Mencken
1271.txt	Bygone Beliefs	2008	H. Stanley Redgrove
1273.txt	The Autobiography of a Slander	2007	Edna Lyall
1274.txt	Martin Hyde, The Duke's Messenger	1998	John Masefield
1276.txt	The Rhythm of Life	2005	Alice Meynell
1277.txt	Melmoth Reconciled	1998	Honore de Balzac
1278.txt	Penelope's English Experiences	1998	Kate Douglas Wiggin
1279.txt	Poems And Songs Of Robert Burns	2005	Robert Burns
128.txt	The Arabian Nights Entertainments	2008	Andrew Lang.
1281.txt	Tom Swift and his Aerial Warship	1998	Victor Appleton
1282.txt	Tom Swift Among The Diamond Makers	1998	Victor Appleton
1283.txt	Tom Swift and his Wizard Camera	1998	Victor Appleton
1284.txt	Tom Swift and his Air Scout	1998	Victor Appleton
1285.txt	The Water Goats and Other Troubles	1998	Ellis Parker Butler
1288.txt	Dream Days	1998	Kenneth Grahame
129.txt	The Square Root of Two, to 5 Million Digits	2008	Robert Nemiroff
1291.txt	Herodias	2006	Gustave Flaubert
1294.txt	The Firm of Nucingen	1998	Honore de Balzac
1295.txt	Ceres' Runaway	2005	Alice Meynell
1296.txt	The Provost	2007	John Galt
1297.txt	The Iron Puddler	1998	James J. Davis
1298.txt	The Virginian	1998	Owen Wister
1299.txt	The Heritage of the Sioux	1998	B.M. Bower
13.txt	The Hunting of the Snark	1992	Lewis Carroll
130.txt	Orthodoxy	1994	G. K. Chesterton
1300.txt	Riders of the Purple Sage	2000	Zane Grey
1302.txt	Enemies of Books	1998	William Blades
1303.txt	The Scapegoat	2006	Hall Caine
1305.txt	The Ball at Sceaux	1998	Honore de Balzac
1306.txt	Seven Men	1998	Max Beerbohm
1307.txt	The Magic Skin	1998	Honore de Balzac
1309.txt	The Spirit of Place	2005	Alice Meynell
131.txt	The Pilgrim's Progress	2008	John Bunyan
1311.txt	If	1998	Lord Dunsany
1312.txt	Selected Stories	2006	Bret Harte
1313.txt	Over the Sliprails	1998	Henry Lawson
1314.txt	The Malefactor	1998	E. Phillips Oppenheim
1315.txt	Autobiography and Selected Essays	2006	Thomas Henry Huxley
1316.txt	Some Reminiscences	2006	Joseph Conrad
1317.txt	Saltbush Bill, J.P., and Other Verses	1998	A. B. Paterson
1318.txt	The Twin Hells	1997	John N. Reynolds
132.txt	The Art of War	1994	Sun Tzu
1322.txt	Leaves of Grass	1998	Walt Whitman
1323.txt	The Conquest Of Peru	1998	William H. Prescott
1326.txt	The Crisis in Russia	1998	Arthur Ransome
1327.txt	Elizabeth and her German Garden	1998	Elizabeth
133.txt	The Damnation of Theron Ware	2006	Harold Frederic
1330.txt	The Story of Little Black Sambo, and The Story of Little Black Mingo	1998	Helen Bannerman
1332.txt	Peter Pan in Kensington Gardens	1998	J. M. Barrie
1333.txt	Robert F. Murray	2007	Robert F. Murray
1334.txt	Paul Kelver	1998	Jerome Klapka
1335.txt	The Ancien Regime	2005	Charles Kingsley
1336.txt	Shelley	2005	Francis Thompson
1337.txt	Shelley	1998	Sydney Waterlow
1338.txt	Selected Prose of Oscar Wilde	2005	Oscar Wilde
134.txt	Maria	2006	Mary Wollstonecraft
1341.txt	The Altruist in Politics	1998	Benjamin Cardozo
1342.txt	Pride and Prejudice	1998	Jane Austen
1343.txt	Bureaucracy	1998	Honore de Balzac
1344.txt	The Secrets of the Princesse de Cadignan	1997	Honore de Balzac
1345.txt	The Vicar of Tours	1998	Honore de Balzac
1346.txt	The Eighteenth Brumaire of Louis Bonaparte	2006	Karl Marx
1347.txt	A New Philosophy: Henri Bergson	1998	Edouard le Roy
1348.txt	A Master's Degree	1998	Margaret Hill McCarter
1349.txt	Russia	2006	Donald Mackenzie Wallace
1350.txt	The Country Doctor	1998	Honore de Balzac
1352.txt	An Old Maid	1998	Honore de Balzac
1353.txt	Off on a Comet	1998	Jules Verne
1354.txt	Chronicles of Avonlea	1998	Lucy Maud Montgomery
1355.txt	The Underground City	1998	Jules Verne
1356.txt	The Cruise of the Cachalot	1998	Frank T. Bullen
1357.txt	Madame Firmiani	1998	Honore de Balzac
1358.txt	Enoch Arden, &c.	1998	Alfred Tennyson
136.txt	A Child's Garden of Verses	2008	Robert Louis Stevenson
1360.txt	Historical Lectures and Essays	2005	Charles Kingsley
1361.txt	Tom Swift and his Giant Cannon	1998	Victor Appleton
1362.txt	Tom Swift and his Undersea Search	1998	Victor Appleton
1363.txt	Tom Swift among the Fire Fighters	1998	Victor Appleton
1364.txt	Tom Swift and his Electric Locomotive	1998	Victor Appleton
1365.txt	The Complete Poetical Works of Henry Wadsworth Longfellow	2004	Henry Wadsworth Longfellow
1366.txt	The Cloister and the Hearth	2006	Charles Reade
1367.txt	Findelkind	1998	Louise de la Ramee
1368.txt	When the World Shook	1998	H. Rider Haggard
1369.txt	Paz	1998	Honore de Balzac
137.txt	Sara Crewe	2006	Frances Hodgson Burnett
1371.txt	Astoria	2006	Washington Irving
1372.txt	The Adventures of Captain Bonneville	2006	Washington Irving
1373.txt	Study of a Woman	1997	Honore de Balzac
1374.txt	Vendetta	1997	Honore de Balzac
1375.txt	New Chronicles of Rebecca	1998	Kate Douglas Wiggin
1376.txt	The Little White Bird	1998	J. M. Barrie
1377.txt	The Talisman	1998	Sir Walter Scott
1378.txt	The Land of Footprints	1998	Stewart Edward White
1379.txt	A Straight Deal	1998	Owen Wister
138.txt	George Sand, Some Aspects of Her Life and Writings	2006	Rene Doumic
1380.txt	The Two Brothers	1997	Honore de Balzac
1384.txt	The Ayrshire Legatees	2008	John Galt
1385.txt	Lin McLean	1998	Owen Wister
1386.txt	Lady Baltimore	1998	Owen Wister
1387.txt	Mother	1998	Owen Wister
1388.txt	Padre Ignacio	1998	Owen Wister
1389.txt	Gobseck	1997	Honore de Balzac
139.txt	The Lost World	2008	Arthur Conan Doyle
1390.txt	The Jimmyjohn Boss and Other Stories	1998	Owen Wister
1391.txt	Penelope's Irish Experiences	1998	Kate Douglas Wiggin
1392.txt	The Seven Poor Travellers	2005	Charles Dickens
1393.txt	Amours de Voyage	1998	Arthur Hugh Clough
1394.txt	The Holly-Tree	2005	Charles Dickens
1395.txt	Letters on Literature	2005	Andrew Lang
1396.txt	Rienzi	2006	Edward Bulwer Lytton
1397.txt	The Ruins	2006	C. F. Volney
1399.txt	Anna Karenina	1998	Leo Tolstoy
14.txt	The 1990 CIA World Factbook	0	United States.  Central Intelligence Agency
140.txt	The Jungle	2006	Upton Sinclair
1400.txt	Great Expectations	1998	Charles Dickens
1401.txt	Tarzan the Untamed	1998	Edgar Rice Burroughs
1402.txt	Where the Blue Begins	1998	Christopher Morley
1403.txt	A Start in Life	1997	Honore de Balzac
1404.txt	The Federalist Papers	1998	Alexander Hamilton;John Jay;James Madison
1405.txt	The Collection of Antiquities	1998	Honore de Balzac
1406.txt	The Perils of Certain English Prisoners	2005	Charles Dickens
1407.txt	A Message from the Sea	2005	Charles Dickens
1409.txt	The Soul of the Far East	1998	Percival Lowell
1410.txt	The Commission in Lunacy	1998	Honore de Balzac
1411.txt	Domestic Peace	1998	Honore de Balzac
1413.txt	Tom Tiddler's Ground	2005	Charles Dickens
1414.txt	Somebody's Luggage	2005	Charles Dickens
1415.txt	Doctor Marigold	2005	Charles Dickens
1416.txt	Mrs. Lirriper's Lodgings	2005	Charles Dickens
1417.txt	Sons of the Soil	1998	Honore de Balzac
1418.txt	Country Sentiment	1998	Robert Graves
1419.txt	Mugby Junction	2005	Charles Dickens
1420.txt	London's Underworld	1998	Thomas Holmes
1421.txt	Mrs. Lirriper's Legacy	2005	Charles Dickens
1422.txt	Going into Society	2005	Charles Dickens
1423.txt	No Thoroughfare	2005	Charles Dickens;Wilkie Collins
1424.txt	Castle Rackrent	2006	Maria Edgeworth
1425.txt	El Verdugo	1998	Honore de Balzac
1426.txt	The Recruit	1998	Honore de Balzac
1427.txt	A Drama on the Seashore	1998	Honore de Balzac
1428.txt	La Grenadiere	1998	Honore de Balzac
1429.txt	The Garden Party	1998	Katherine Mansfield
143.txt	The Mayor of Casterbridge	2007	Thomas Hardy
1430.txt	Beautiful Stories from Shakespeare	1998	E. Nesbit
1431.txt	Trooper Peter Halket of Mashonaland	1998	Olive Schreiner
1432.txt	Seraphita	1998	Honore de Balzac
1433.txt	The Red Inn	1998	Honore de Balzac
1434.txt	Essays	2005	Alice Meynell
1436.txt	A Voyage to Abyssinia	2007	Jerome Lobo
1437.txt	Juana	1998	Honore de Balzac
1439.txt	Dreams	1998	Olive Schreiner
144.txt	The Voyage Out	2006	Virginia Woolf
1440.txt	Woman and Labour	1998	Olive Schreiner
1441.txt	The Story of an African Farm	1998	Olive Schreiner
1442.txt	The Kingdom of the Blind	1998	E. Phillips Oppenheim
1443.txt	Two Poets	1998	Honore de Balzac
1444.txt	The Voice of the City	1998	O. Henry
1446.txt	Perfect Behavior	1998	Donald Ogden Stewart
1447.txt	The Illustrious Prince	1998	E. Phillips Oppenheim
1448.txt	Heidi	1998	Johanna Spyri
1449.txt	The Valley of the Moon	1998	Jack London
145.txt	Middlemarch	2008	George Eliot
1450.txt	Pollyanna	1998	Eleanor H. Porter
1453.txt	The Alkahest	1998	Honore de Balzac
1454.txt	Maitre Cornelius	1998	Honore de Balzac
1455.txt	The Hated Son	1998	Honore de Balzac
1456.txt	An Episode Under the Terror	1998	Honore de Balzac
1457.txt	Mistress Wilding	1998	Rafael Sabatini
1458.txt	Dream Life and Real Life	1998	Olive Schreiner
1459.txt	Prufrock and Other Observations	1998	T. S. Eliot
146.txt	A Little Princess	2008	Frances Hodgson Burnett
1460.txt	The Black Dwarf	2006	Sir Walter Scott
1461.txt	A Legend of Montrose	2006	Sir Walter Scott
1463.txt	The Private Papers of Henry Ryecroft	2005	George Gissing
1465.txt	The Wreck of the Golden Mary	2005	Charles Dickens
1468.txt	The History of England from the Accession of James II.	1998	Thomas Babington Macaulay
1471.txt	New Poems	1998	Francis Thompson
1472.txt	In a German Pension	1998	Katherine Mansfield
1473.txt	The Absentee	2006	Maria Edgeworth
1474.txt	The Illustrious Gaudissart	1998	Honore de Balzac
1475.txt	Gaudissart II	1998	Honore de Balzac
1476.txt	Chance	2005	Joseph Conrad
1477.txt	The Toys of Peace	2005	Saki
1478.txt	A Parody Outline of History	1998	Donald Ogden Stewart
148.txt	The Autobiography of Benjamin Franklin	2008	Benjamin Franklin
1480.txt	Tom Brown's Schooldays	2006	Thomas Hughes
1481.txt	A Daughter of Eve	1998	Honore de Balzac
1482.txt	Modeste Mignon	1998	Honore de Balzac
1484.txt	The Four Horsemen of the Apocalypse	2006	Vicente Blasco Ibanez
1486.txt	The Unseen World and Other Essays	1998	John Fiske
1487.txt	The Perfect Wagnerite	1998	George Bernard Shaw
1488.txt	The True Story of Christopher Columbus	2006	Elbridge S. Brooks
149.txt	The Lost Continent	2008	Edgar Rice Burroughs
1492.txt	The Life of Christopher Columbus from his own Letters and Journals	2006	Edward Everett Hale
1493.txt	The Legends of the Jews Volume 1	1998	Louis Ginzberg
1495.txt	The Golf Course Mystery	1998	Chester K. Steele
1496.txt	Massacre at Paris	1998	Christopher Marlowe
1497.txt	The Republic	1998	Plato
1498.txt	Beacon Lights of History, Volume III, Part 1	1998	John Lord
1499.txt	Beacon Lights of History, Volume 3, Part 2	1998	John Lord
15.txt	Moby Dick	1991	Herman Melville
150.txt	Plato's Republic	2008	Plato
151.txt	The Rime of the Ancient Mariner	2006	Samuel Taylor Coleridge
1517.txt	The Merry Wives of Windsor	1998	William Shakespeare
152.txt	Wild Justice	1994	Ruth M. Sprague
153.txt	Jude the Obscure	1994	Thomas Hardy
1531.txt	Othello, the Moor of Venice	1998	William Shakespeare
1539.txt	The Winter's Tale	1998	William Shakespeare
154.txt	The Rise of Silas Lapham	2008	William Dean Howells
1549.txt	Commentary on the Epistle to the Galatians	1998	Martin Luther
1550.txt	A Lady of Quality	2005	Frances Hodgson Burnett
1551.txt	A Cathedral Courtship	2008	Kate Douglas Wiggin
1553.txt	The Hidden Masterpiece	1998	Honore de Balzac
1554.txt	Adieu	1998	Honore de Balzac
1555.txt	A Passion in the Desert	1998	Honore de Balzac
1556.txt	The Marriage Contract	1998	Honore de Balzac
1557.txt	Men of Iron	2006	Howard Pyle
1559.txt	A Distinguished Provincial at Paris	1998	Honore de Balzac
156.txt	Beethoven's Fifth Symphony, in C-minor, Opus #67	2012	Ludwig van Beethoven
1560.txt	The San Francisco Calamity	2006	Unknown
1561.txt	Pagan & Christian Creeds	1998	Edward Carpenter
1562.txt	Little Rivers	2006	Henry van Dyke
1563.txt	The Crystal Stopper	1998	Maurice LeBlanc
1564.txt	Life of Johnson	2006	James Boswell
1565.txt	The Last Days of Pompeii	2006	Edward George Bulwer-Lytton
1566.txt	The Evolution of Modern Medicine	2006	William Osler
1569.txt	The Lily of the Valley	1998	Honore de Balzac
