Filename	Title	Year	Authors
157.txt	Daddy-Long-Legs	2008	Jean Webster
1571.txt	Critias	1998	Plato
1572.txt	Timaeus	1998	Plato
1573.txt	Frank's Campaign	1998	Horatio Alger, Jr.
1574.txt	Historic Girls	1998	E. S. Brooks
1577.txt	The Grey Room	1998	Eden Phillpotts
1578.txt	Aucassin and Nicolete	2005	Andrew Lang
1579.txt	Lysis	1998	Plato
158.txt	Emma	1994	Jane Austen
1580.txt	Charmides	1998	Plato
1581.txt	The Holy Bible	1998	Unknown
1582.txt	The Bible, Douay-Rheims, New Testament	1998	Unknown
1583.txt	Options	1998	O. Henry
1584.txt	Laches	1998	Plato
1585.txt	The Wrong Box	2006	Robert Louis Stevenson;Lloyd Osbourne
1586.txt	Man and Wife	2006	Wilkie Collins
1587.txt	The Black Robe	2006	Wilkie Collins
1588.txt	A Rogue's Life	2006	Wilkie Collins
159.txt	The Island of Doctor Moreau	2004	H. G. Wells
1590.txt	The Amazing Interlude	2004	Mary Roberts Rinehart
1591.txt	Protagoras	1999	Plato
1593.txt	How to Tell the Birds from the Flowers	1999	Robert Williams Wood
1594.txt	Essays in Little	2007	Andrew Lang
1595.txt	Whirligigs	1999	O. Henry
1596.txt	Smoke Bellew	1998	Jack London
1597.txt	Andersen's Fairy Tales	1999	Hans Christian Andersen
1598.txt	Euthydemus	1999	Plato
1599.txt	Cinderella; or, The Little Glass Slipper and Other Stories	1999	Unknown
16.txt	Peter Pan	1991	James M. Barrie
160.txt	The Awakening and Selected Short Stories	2006	Kate Chopin
1600.txt	Symposium	1999	Plato
1601.txt	The Breaking Point	1999	Mary Roberts Rinehart
1602.txt	Dawn O'Hara, The Girl Who Laughed	1999	Edna Ferber
1603.txt	The Blue Flower, and Others	1999	Henry van Dyke
1604.txt	The Ebb-Tide	1999	Robert Louis Stevenson;Lloyde Osbourne
1605.txt	The Crock of Gold	1999	James Stephens
1606.txt	Kenilworth	2006	Sir Walter Scott
1608.txt	Camille (La Dame aux Camilias)	1999	Alexandre Dumas
1609.txt	The Bible, Douay-Rheims, Old Testament--Part I	1999	Unknown
161.txt	Sense and Sensibility	2008	Jane Austen
1610.txt	The Bible, Douay-Rheims, Old Testament--Part 2	1999	Unknown
1611.txt	Seventeen	2006	Booth Tarkington
1612.txt	Poems By a Little Girl	1999	Hilda Conkling
1613.txt	Count Bunker	1999	J. Storer Clouston
1614.txt	The Golden Fleece	1999	Julian Hawthorne
1616.txt	Cratylus	1999	Plato
1617.txt	The Wind in the Rose-bush and Other Stories of the Supernatural	1999	Mary Eleanor Wilkins Freeman
1618.txt	In the Shadow of the Glen	1999	J. M. Synge
162.txt	Take Me for a Ride	1994	Mark E. Laxer
1620.txt	The Lion and the Unicorn and Other Stories	1999	Richard Harding Davis
1621.txt	Miss or Mrs.?	2006	Wilkie Collins
1622.txt	The Law and the Lady	1999	Wilkie Collins
1623.txt	The New Magdalen	1999	Wilkie Collins
1624.txt	The Two Destinies	1999	Wilkie Collins
1625.txt	The Frozen Deep	1999	Wilkie Collins
1626.txt	After Dark	1999	Wilkie Collins
1628.txt	My Lady's Money	2006	Wilkie Collins
1629.txt	I Say No	1999	Wilkie Collins
163.txt	Flower Fables	2008	Louisa May Alcott
1630.txt	Little Novels	1999	Wilkie Collins
1631.txt	A Monk of Fife	2005	Andrew Lang
1632.txt	A Book of Scoundrels	2006	Charles Whibley
1634.txt	The Foolish Virgin	1999	Thomas Dixon
1635.txt	Ion	1999	Plato
1636.txt	Phaedrus	1999	Plato
1638.txt	The New Revelation	1999	Arthur Conan Doyle
1639.txt	Eve and David	1999	Honore de Balzac
164.txt	Twenty Thousand Leagues under the Sea (slightly abridged)	1994	Jules Verne
1640.txt	Lilith	1999	George MacDonald
1641.txt	The Lesser Bourgeoisie	1999	Honore de Balzac
1642.txt	Euthyphro	1999	Plato
1643.txt	Meno	1999	Plato
1644.txt	The Adventures of Gerard	1999	Arthur Conan Doyle
1646.txt	Roads of Destiny	1997	O. Henry
1649.txt	Ferragus	1999	Honore de Balzac
165.txt	McTeague	2006	Frank Norris
1651.txt	The Mystery of Orcival	2006	Emile Gaboriau
1652.txt	The Survivors of the Chancellor	1999	Jules Verne
1654.txt	An Unsocial Socialist	2006	George Bernard Shaw
1655.txt	The God of His Fathers	2005	Jack London
1656.txt	Apology	1999	Plato
1658.txt	Phaedo	1999	Plato
1659.txt	The Girl with the Golden Eyes	1999	Honore de Balzac
166.txt	Summer	2006	Edith Wharton
1660.txt	Scenes from a Courtesan's Life	1999	Honore de Balzac
1662.txt	The 1997 CIA World Factbook	1999	United States. Central Intelligence Agency.
1663.txt	Webster's Seventh of March Speech, and the Secession Movement	1999	Herbert Darling Foster
1664.txt	Songs for Parents	1999	John Farrar
1665.txt	Derrick Vaughan--Novelist	1999	Edna Lyall
1666.txt	The Golden Asse	2006	Lucius Apuleius
1667.txt	My Aunt Margaret's Mirror	1999	Sir Walter Scott
1668.txt	The Tapestried Chamber, and Death of the Laird's Jock	1999	Sir Walter Scott
1669.txt	The Human Drift	2005	Jack London
167.txt	American Handbook of the Daguerrotype	2008	Samuel D. Humphrey
1670.txt	The Small Catechism of Martin Luther	1999	Martin Luther
1671.txt	When a Man Marries	1999	Mary Roberts Rinehart
1672.txt	Gorgias	1999	Plato
1673.txt	Lesser Hippias	1999	Plato
1676.txt	Alcibiades I	1999	(may be spurious) Plato
1677.txt	Alcibiades II	1999	An Imitator of Plato
1678.txt	An Historical Mystery	1998	Honore de Balzac
1679.txt	Hiram The Young Farmer	1999	Burbank L. Todd
168.txt	The History and Practice of the Art of Photography	2008	Henry H. Snelling
1680.txt	At the Sign of the Cat and Racket	1998	Honore de Balzac
1681.txt	Eryxias	1999	An Imitator of Plato
1682.txt	Menexenus	1999	Plato
1683.txt	Honorine	1998	Honore de Balzac
1684.txt	The Egoist	1999	George Meredith
1685.txt	The Mystery of the Yellow Room	1999	Gaston Leroux
1686.txt	The Secret of the Night	1999	Gaston Leroux
1687.txt	Parmenides	1999	Plato
1688.txt	The People of the Abyss	2005	Jack London
1689.txt	The Pivot of Civilization	2008	Margaret Sanger
169.txt	The Well at the World's End	2008	William Morris
1690.txt	Marie	1999	H. Rider Haggard
1692.txt	1492	1999	Mary Johnston
1693.txt	Dangerous Days	1999	Mary Roberts Rinehart
1697.txt	Madam How and Lady Why	2005	Charles Kingsley
1698.txt	The Survivors of the Chancellor	1999	Jules Verne
1699.txt	The Vanished Messenger	1999	E. Phillips Oppenheim
17.txt	The Book Of Mormon	1992	Unknown
170.txt	The Haunted Hotel	2008	Wilkie Collins
1700.txt	Life of Charlotte Bronte	1999	Elizabeth Cleghorn Gaskell
1701.txt	The Story Of Waitstill Baxter	1999	By Kate Douglas Wiggin
1703.txt	Dead Men Tell No Tales	1999	E. W. Hornung
1704.txt	Pierrette	1999	Honore de Balzac
1705.txt	A History of Science, Volume 1(of 5)	1999	Henry Smith Williams
1706.txt	A History of Science, Volume 2(of 5)	1999	Henry Smith Williams
1707.txt	A History of Science, Volume 3(of 5)	1999	Henry Smith Williams
1708.txt	A History of Science, Volume 4(of 5)	1999	Henry Smith Williams
171.txt	Charlotte Temple	2006	Susanna Rowson
1710.txt	La Grande Breteche	1999	Honore de Balzac
1711.txt	Child of Storm	1999	H. Rider Haggard
1712.txt	The Rescue	2006	Joseph Conrad
1713.txt	Lincoln	2006	Nathaniel Wright Stephenson
1714.txt	Another Study of Woman	1999	Honore de Balzac
1715.txt	Eugenie Grandet	1999	Honore de Balzac
1716.txt	The Copy-Cat and Other Stories	1999	Mary E. Wilkins Freeman
1717.txt	What's Wrong With The World	1999	G.K. Chesterton
1718.txt	Manalive	2005	G. K. Chesterton
1719.txt	The Ballad of the White Horse	1999	G.K. Chesterton
172.txt	The Haunted Bookshop	2008	Christopher Morley
1720.txt	The Man Who Knew Too Much	2004	G.K. Chesterton
1721.txt	The Trees of Pride	1999	G.K. Chesterton
1723.txt	Cow-Country	1999	B. M. Bower
1724.txt	Finished	2004	H. Rider Haggard
1725.txt	Heart of the West	1999	O. Henry
1726.txt	Theaetetus	1999	Plato
1727.txt	The Odyssey	1999	Homer
1729.txt	The Deserted Woman	1999	Honore de Balzac
173.txt	The Insidious Dr. Fu-Manchu	2008	Sax Rohmer
1730.txt	Michael, Brother of Jerry	2005	Jack London
1732.txt	The Schoolmistress and Other Stories	2006	Anton Chekhov
1733.txt	The Red Cross Girl	1999	Richard Harding Davis
1734.txt	The Secret Places of the Heart	2006	H. G. Wells
1735.txt	Sophist	1999	Plato
1737.txt	Facino Cane	1999	Honore de Balzac
1738.txt	Statesman	1999	Plato
1739.txt	The Black Death, and The Dancing Mania	2007	Justus Friedrich Karl Hecker
174.txt	The Picture of Dorian Gray	2008	Oscar Wilde
1740.txt	The Flying U's Last Stand	1999	B. M. Bower
1741.txt	The White Moll	1999	Frank L. Packard
1742.txt	Miss Civilization	1999	Richard Harding Davis
1743.txt	Twelve Stories and a Dream	1999	H. G. Wells
1744.txt	Philebus	1999	Plato
1745.txt	The Poetical Works of John Milton	1999	John Milton
1747.txt	The Red Seal	1999	Natalie Sumner Lincoln
1749.txt	Cousin Betty	1999	Honore de Balzac
175.txt	The Phantom of the Opera	2008	Gaston Leroux
1750.txt	Laws	1999	Plato
1751.txt	Twilight Land	1999	Howard Pyle
1753.txt	Swan Song	2006	Anton Checkov
1754.txt	The Sea-Gull	2006	Anton Checkov
1755.txt	Ivanoff	1999	Anton Checkov
1756.txt	Uncle Vanya	1999	Anton Checkov
1757.txt	The Cruise of the Dolphin	1999	Thomas Bailey Aldrich
1758.txt	Marjorie Daw	1999	Thomas Bailey Aldrich
1759.txt	The Black-Bearded Barbarian (George Leslie Mackay)	1999	Mary Esther Miller MacGregor
176.txt	Roderick Hudson	2006	Henry James
1761.txt	My Buried Treasure	1999	Richard Harding Davis
1762.txt	The Consul	1999	Richard Harding Davis
1763.txt	The Nature Faker	1999	Richard Harding Davis
1764.txt	Billy and the Big Stick	1999	Richard Harding Davis
178.txt	Confidence	2006	Henry James
179.txt	The Europeans	2006	Henry James
18.txt	The Federalist Papers	1991	Alexander Hamilton
180.txt	The 1994 CIA World Factbook	2008	United States Central Intelligence Agency
1803.txt	Wyoming, a Story of the Outdoor West	1999	William MacLeod Raine
1804.txt	War and the Future	2006	H. G. Wells
1805.txt	The Gentle Grafter	1999	O. Henry
1806.txt	The Frame Up	1999	Richard Harding Davis
1807.txt	The Lost House	1999	Richard Harding Davis
1808.txt	The Log of The "Jolly Polly"	1999	Richard Harding Davis
1809.txt	Bucky O'Connor	1999	William MacLeod Raine
1810.txt	A Second Home	1999	Honore de Balzac
1811.txt	Massimilla Doni	2010	Honore de Balzac
1812.txt	A Prince of Bohemia	1999	Honore de Balzac
1813.txt	A Man of Business	1999	Honore de Balzac
1814.txt	The Agony Column	1999	Earl Derr Biggers
1815.txt	The Boys' Life of Abraham Lincoln	1999	Helen Nicolay
1816.txt	Tattine	1999	Ruth Ogden
1817.txt	A Question of Latitude	2006	Richard Harding Davis
1818.txt	The Spy	2006	Richard Harding Davis
1819.txt	The Messengers	2006	Richard Harding Davis
1820.txt	A Wasted Day	2006	Richard Harding Davis
1821.txt	A Charmed Life	2006	Richard Harding Davis
1822.txt	The Amateur	2006	Richard Harding Davis
1823.txt	The Make-Believe Man	1999	Richard Harding Davis
1824.txt	Peace Manoeuvres	2006	Richard Harding Davis
1825.txt	The Adventures of Reddy Fox	1999	Thornton W. Burgess
1826.txt	Sarrasine	2010	Honore de Balzac
1827.txt	The Life of Charlotte Bronte - Volume 1	2005	Elizabeth Gaskell
1828.txt	Chronicles of the Canongate	1999	Sir Walter Scott
1829.txt	Mae Madden	2006	Mary Murdoch Mason
1830.txt	Wyndham Towers	1998	Thomas Bailey Aldrich
1832.txt	The Lamp That Went Out	1999	Augusta Groner
1833.txt	The Case of the Registered Letter	1999	Augusta Groner
1834.txt	The Case of The Pocket Diary Found in the Snow	1999	Grace Isabel Colbron;Augusta Groner
1835.txt	The Case of The Pool of Blood in the Pastor's Study	1999	Grace Isabel Colbron;Augusta Groner
1836.txt	The Case of the Golden Bullet	1999	Grace Isabel Colbron;Augusta Groner
1838.txt	A New Voyage to Carolina	#N/A	John Lawson
1839.txt	Other Things Being Equal	1999	Emma Wolf
1840.txt	The Financier	2006	Theodore Dreiser
1841.txt	Z. Marcas	1999	Honore de Balzac
1842.txt	Michael Strogoff	1999	Jules Verne
1843.txt	Vera	1999	Richard Harding Davis
1845.txt	Zuleika Dobson	1999	Max Beerbohm
1846.txt	The Vision Spendid	1999	William MacLeod Raine
1847.txt	Songs, Merry and Sad	1999	John Charles McNeill
1848.txt	Montezuma's Daughter	2006	H. Rider Haggard
1849.txt	The Yellow Crayon	1999	E. Phillips Oppenheim
1850.txt	Old Christmas	2006	Washington Irving
1851.txt	The Woman in the Alcove	1999	Anna Katharine Green
1852.txt	Lucile	1999	Owen Meredith
1853.txt	The Ninth Vibration And Other Stories	1999	L. Adams Beck
1854.txt	Catherine de' Medici	1999	Honore de Balzac
1856.txt	Cousin Pons	1999	Honore de Balzac
1857.txt	Initials Only	1999	Anna Katharine Green
1858.txt	Plain Tales from the Hills	1999	Rudyard Kipling
1859.txt	The Works of Max Beerbohm	1999	Max Beerbohm
1860.txt	Westward Ho!	2006	Charles Kingsley
1861.txt	An Old Town By The Sea	2006	Thomas Bailey Aldrich
1862.txt	Tartarin of Tarascon	1999	Alphonse Daudet
1864.txt	Hero Tales From American History	1999	Henry Cabot Lodge;Theodore Roosevelt
1865.txt	North America, Volume I (of 2)	1999	Anthony Trollope
1866.txt	North America, Volume II (of 2)	1998	Anthony Trollope
1867.txt	The Diary of a Goose Girl	2007	Kate Douglas Smith Wiggin
1869.txt	The Man in Lower Ten	1999	Mary Roberts Rinehart
1870.txt	Reginald in Russia	2010	Saki
1871.txt	The Deputy of Arcis	1999	Honore de Balzac
1872.txt	The Red House Mystery	1999	A. A. Milne
1873.txt	Gambara	1999	Honore de Balzac
1874.txt	The Railway Children	1999	E. Nesbit
1875.txt	Painted Windows	1999	Elia W. Peattie
1876.txt	The Shape of Fear	1999	Elia W. Peattie
1877.txt	A Mountain Woman and Others	1998	Elia W. Peattie
1878.txt	A Millionaire of Yesterday	1999	E. Phillips Oppenheim
1879.txt	Royalty Restored	1999	J. Fitzgerald Molloy
1880.txt	The Pathfinder	1999	James Fenimore Cooper
1881.txt	The Call of the Canyon	1999	Zane Grey
1883.txt	The Wife and Other Stories	2006	Anton Chekhov
1884.txt	The Exiles	1999	Honore de Balzac
1885.txt	Bunyan Characters	2005	Alexander Whyte
1886.txt	Bunyan Characters (Second Series)	2005	Alexander Whyte
1887.txt	The Life of the Spider	2005	J. Henri Fabre
1888.txt	The Bittermeads Mystery	1999	E. R. Punshon
1890.txt	Speaking of Operations--	1999	Irvin S. Cobb
1891.txt	A Plea for Old Cap Collier	1999	Irvin S. Cobb
1892.txt	Extracts From Adam's Diary	2004	Mark Twain (Samuel Clemens)
1894.txt	Visit to Iceland	2007	Ida Pfeiffer
1896.txt	Under the Red Robe	1999	Stanley Weyman
1897.txt	The Seventh Man	1999	Max Brand
1898.txt	Albert Savarus	1999	Honore de Balzac
1899.txt	The Village Rector	1999	Honore de Balzac
19.txt	The Song Of Hiawatha	2007	Henry W. Longfellow
1900.txt	Typee	1999	Herman Melville
1901.txt	Secret of the Woods	1999	William J. Long
1902.txt	The Old Peabody Pew	2005	Kate Douglas Wiggin
1904.txt	The Life and Perambulations of a Mouse	1999	Dorothy Kilner
1905.txt	The Governess	1999	Sarah Fielding
1906.txt	Erewhon	2005	Samuel Butler
1907.txt	Rowdy of the Cross L	1999	B.M. Sinclair
1908.txt	Her Prairie Knight	1999	B.M. Sinclair
1909.txt	Darwin and Modern Science	1999	A.C. Seward
1911.txt	Concerning Christian Liberty	2006	Martin Luther
1912.txt	The Muse of the Department	1999	Honore de Balzac
1913.txt	The Drums Of Jeopardy	1999	Harold MacGrath
1915.txt	The Second Thoughts of An Idle Fellow	1999	Jerome K. Jerome
1916.txt	The Great Stone Face	2006	Nathaniel Hawthorne
1917.txt	The Queen of Hearts	1999	Wilkie Collins
1918.txt	Long Odds	2010	H. Rider Haggard
1919.txt	Ballads	1999	Horatio Alger, Jr.
1921.txt	The Chouans	1999	Honore de Balzac
1925.txt	Droll Stories, Volume 1	2004	Honore de Balzac
1926.txt	Grandfather's Chair	1999	Nathaniel Hawthorne
1929.txt	The School For Scandal	1999	Richard Brinsley Sheridan
1930.txt	Penguin Island	2006	Anatole France
1931.txt	The Zeppelin's Passenger	1999	E. Phillips Oppenheim
1932.txt	Early Kings of Norway	1999	Thomas Carlyle
1933.txt	The History of Samuel Titmarsh	2006	William Makepeace Thackeray
1934.txt	Songs of Innocence and Songs of Experience	2008	William Blake
1937.txt	The Second Jungle Book	1999	Rudyard Kipling
1938.txt	Resurrection	1999	Leo Tolstoy
1939.txt	A Gentleman of France	1999	Stanley Weyman
1940.txt	Christ in Flanders	1999	Honore de Balzac
1941.txt	Letters of Two Brides	1999	Honore de Balzac
1942.txt	Rise and Fall of Cesar Birotteau	1999	Honore de Balzac
1943.txt	Louis Lambert	1999	Honore de Balzac
1944.txt	The Witch and Other Stories	2006	Anton Chekhov
1945.txt	Egmont	1999	Johann Wolfgang Von Goethe
1946.txt	On War	2006	Carl von Clausewitz
1947.txt	Scaramouche	1999	Rafael Sabatini
1948.txt	The Story of a Bad Boy	2006	Thomas Bailey Aldrich
1949.txt	On the Ruin of Britain	1999	Gildas
1950.txt	A Woman of Thirty	1999	Honore de Balzac
1951.txt	The Coming Race	2006	Edward Bulwer Lytton
1953.txt	A Book of Strife in the Form of The Diary of an Old Soul	1999	George MacDonald
1954.txt	Colonel Chabert	1999	Honore de Balzac
1955.txt	The Darrow Enigma	1999	Melvin L. Severy
1956.txt	And Even Now	1999	Max Beerbohm
1957.txt	Beatrix	1999	Honore de Balzac
1958.txt	Hermann and Dorothea	1999	Johann Wolfgang von Goethe
1959.txt	The Crown of Thorns	1999	E. H. Chapin
1960.txt	Sight Unseen	1999	Mary Roberts Rinehart
1963.txt	The Confession	1999	Mary Roberts Rinehart
1966.txt	The Path of the King	1999	John Buchan
1967.txt	The Brotherhood of Consolation	1999	Honore de Balzac
1968.txt	The Human Comedy	1999	Honore de Balzac
1969.txt	Catherine: A Story	1999	William Makepeace Thackeray
1970.txt	A Poor Wise Man	1999	Mary Roberts Rinehart
1971.txt	Erewhon Revisited	2005	Samuel Butler
1972.txt	History Of The Britons (Historia Brittonum)	2006	Nennius
1973.txt	Tales of Troy: Ulysses the Sacker of Cities	2005	Andrew Lang
1974.txt	Poetics	1999	Aristotle
1975.txt	The Legacy of Cain	1999	Wilkie Collins
1976.txt	Peter Ruff and the Double Four	1999	E. Phillips Oppenheim
1977.txt	Phaedra	1999	Jean Baptiste Racine
1978.txt	Buttercup Gold and Other Stories	1999	Ellen Robena Field
1979.txt	The Perdue Chicken Cookbook	1999	Mitzi Perdue
1980.txt	Stories by English Authors: Africa	2006	Unknown
1983.txt	Monsieur Beaucaire	2006	Booth Tarkington
1985.txt	Men's Wives	1999	William Makepeace Thackeray
1987.txt	The Outlet	1999	Andy Adams
1988.txt	The History of Tom Thumb, and Others	1999	Unknown
1989.txt	The Foolish Dictionary	2007	Gideon Wurdz
1990.txt	The Bedford-Row Conspiracy	1999	William Makepeace Thackeray
1994.txt	Adventures among Books	2005	Andrew Lang
1998.txt	Thus Spake Zarathustra	1999	Friedrich Nietzsche
1999.txt	Crome Yellow	1999	Aldous Huxley
20.txt	Paradise Lost	1991	John Milton
200.txt	The Project Gutenberg Gutenberg Encyclopedia, Vol 1	1995	Project Gutenberg
2002.txt	Sonnets from the Portuguese	2004	Browning, Elizabeth Barrett
2003.txt	Spirits in Bondage	1999	C. S. Lewis
2004.txt	Pigs is Pigs	1999	Ellis Parker Butler
2005.txt	Piccadilly Jim	2012	P. G. Wodehouse
2006.txt	A Fair Penitent	1999	Wilkie Collins
2007.txt	We Two	1999	Edna Lyall
2008.txt	Mazelli, and Other Poems	1999	George W. Sands
2009.txt	On the Origin of Species	1999	Charles Darwin
201.txt	Flatland: A Romance of Many Dimensions (Illustrated)	2008	Edwin A. Abbot
2010.txt	The Autobiography of Charles Darwin	1999	Charles Darwin
2011.txt	Rudder Grange	1999	Frank R. Stockton
2012.txt	The Children	2005	Alice Meynell
2013.txt	The Pit Prop Syndicate	1999	Freeman Wills Crofts
2014.txt	The Lodger	2005	Marie Belloc Lowndes
2015.txt	A Miscellany of Men	2008	G. K. Chesterton
2016.txt	The 1998 CIA World Factbook	1999	United States.  Central Intelligence Agency.
2017.txt	The Dhammapada	1999	Unknown
2019.txt	The Bat	2000	Avery Hopwood
202.txt	My Bondage and My Freedom	2008	Frederick Douglass
2020.txt	Tarzan the Terrible	2000	Edgar Rice Burroughs
2021.txt	Nostromo: A Tale of the Seaboard	2006	Joseph Conrad
2022.txt	Angling Sketches	2005	Andrew Lang
2023.txt	Malvina of Brittany	2000	Jerome K. Jerome
2024.txt	Diary of a Pilgrimage	2008	Jerome K. Jerome
2025.txt	My Lady Caprice	2000	Jeffery Farnol
2026.txt	The Coming Conquest of England	2006	August Niemann
2027.txt	Tartuffe	2000	Jean-Baptiste Poquelin Moliere
2028.txt	The Yellow Claw	2006	Sax Rohmer
2029.txt	Lahoma	2000	John Breckinridge Ellis
2030.txt	Legends Of Babylon And Egypt	2006	Leonard W. King
2032.txt	Martin Pippin in the Apple Orchard	2000	Eleanor Farjeon
2034.txt	Waverley	2006	Sir Walter Scott
2035.txt	Stories by English Authors: Orient	2006	Unknown
2036.txt	Eight Years' Wandering in Ceylon	2000	Samuel White Baker
2037.txt	Novel Notes	2005	Jerome K. Jerome
2038.txt	The Lock And Key Library	2005	Unknown
2039.txt	Evangeline	2000	Henry Wadsworth Longfellow
204.txt	The Innocence of Father Brown	2008	G. K. Chesterton
2040.txt	Confessions of an English Opium-Eater	2005	Thomas De Quincey
2041.txt	The House of the Wolf	2000	Stanley Weyman
2042.txt	Something New	2000	P. G. Wodehouse
2044.txt	The Education of Henry Adams	2000	Henry Adams
2045.txt	My Memories of Eighty Years	2000	Chauncey M. Depew
2048.txt	The Sketch Book of Geoffrey Crayon, Gent.	2000	Washington Irving
2049.txt	Liber Amoris, or, The New Pygmalion	2000	William Hazlitt
2050.txt	Old John Brown	2000	Walter Hawkins
2051.txt	Dickory Cronke	2005	Daniel Defoe
2052.txt	Everybody's Business is Nobody's Business	2005	Daniel Defoe
2053.txt	The American Republic: Its Constitution, Tendencies, and Destiny	2000	A. O. Brownson
2056.txt	The Life of William Carey	2000	George Smith
2057.txt	The Last of the Plainsmen	2000	Zane Grey
2058.txt	Messer Marco Polo	2000	Brian Oswald Donn-Byrne
2059.txt	The Little Shepherd of Kingdom Come	2000	John Fox
206.txt	The Martin Luther King, Jr. Day, 1995, Memorial Issue	2008	Unknown
2060.txt	The History of the Caliph Vathek	2010	William Beckford
2062.txt	All for Love	2000	John Dryden
2063.txt	The Trail of the White Mule	2000	B. M. Bower
2064.txt	A Journey to the Western Isles of Scotland	2005	Samuel Johnson
2065.txt	Dick Hamilton's Airship	2000	Howard R. Garis
2066.txt	Wildfire	2000	Zane Grey
2067.txt	Beasts, Men and Gods	2006	Ferdinand Ossendowski
2068.txt	Keziah Coffin	2006	Joseph C. Lincoln
2069.txt	The Religion of Babylonia and Assyria	2000	Theophilus G. Pinches
207.txt	The Spell of the Yukon	1995	Robert Service
2070.txt	To the Last Man	2000	Zane Grey
2071.txt	Stories By English Authors: Germany	2006	Unknown
2072.txt	Michael	2006	E. F. Benson
2073.txt	The Valet's Tragedy and Other Stories	2000	Andrew Lang
2076.txt	The Civilization Of China	2006	Herbert A. Giles
2077.txt	The Nabob	2006	Alphonse Daudet
2078.txt	Thais	2006	Anatole France
2079.txt	From the Memoirs of a Minister of France	2000	Stanley Weyman
208.txt	Daisy Miller	2008	Henry James
2081.txt	The Blithedale Romance	2000	Nathaniel Hawthorne
2082.txt	Memoirs of the Comtesse du Barry	2000	Etienne Leon Lamothe-Langon
2083.txt	In Search of the Castaways	2000	Jules Verne
2084.txt	The Way of All Flesh	2005	Samuel Butler
2085.txt	Cyropaedia	2000	Xenophon
2086.txt	The Slowcoach	2000	E. V. Lucas
2087.txt	The Life and Letters of Charles Darwin, Volume I (of II)	1999	Charles Darwin
